brand_id,brand_name,official_domain,vertical_l1,vertical_l2,final_score,domain_entity_type,reasons
brand_mobile01-com_85548672,Mobile01,mobile01.com,art_culture,craft,0.898,commercial,
brand_parenting-pl_e91efde4,Parenting,parenting.pl,baby_parenting,baby_products,0.8855,commercial,
brand_iciba-com_d4604774,Iciba,iciba.com,beauty_personal_care,cosmetics,0.91,commercial,
brand_koolearn-com_7fcc0467,Koolearn,koolearn.com,consumer_electronics,smartphone,0.904,commercial,
brand_apple-com_143b3799,Apple,apple.com,developer_tools,dev_platform,0.91,commercial,
brand_worldbank-org_8a6ebcc3,Worldbank,worldbank.org,education,online_learning,0.8842,commercial,
brand_baidu-com_f5a6b304,Baidu,baidu.com,fashion,footwear,0.91,commercial,
brand_digitalspy-com_b9ee23ee,Digitalspy,digitalspy.com,finance,digital_banking,0.788,publisher,publisher_domain_pattern
brand_zybang-com_4f56ad56,Zybang,zybang.com,food_beverage,snacks,0.8855,commercial,
brand_microsoft-com_efa3eeb2,Microsoft,microsoft.com,gaming_entertainment,gaming,0.91,commercial,
brand_alibaba-com_b74526cb,Alibaba,alibaba.com,health_wellness,healthcare,0.91,commercial,
brand_wordreference-com_11cf5291,Wordreference,wordreference.com,home_appliance,kitchen_appliance,0.878,commercial,
brand_apache-org_8375140b,Apache,apache.org,home_improvement,home_decor,0.822,commercial,
brand_mozilla-org_a36de48f,Mozilla,mozilla.org,local_services,food_delivery,0.822,commercial,
brand_cargurus-ca_5f8c63cd,Cargurus,cargurus.ca,mobility,automotive,0.8963,commercial,
brand_europa-eu_d905ee50,Europa,europa.eu,pet,pet_supplies,0.822,commercial,
brand_productivity-ac-uk_37df4b4b,Productivity,productivity.ac.uk,saas,productivity,0.8872,commercial,
brand_fitness-com_3a896ef0,Fitness,fitness.com,sports_outdoor,fitness,0.888,commercial,
brand_travel-dealz-de_35d12fc7,Travel Dealz,travel-dealz.de,travel_hospitality,hotel_booking,0.8863,commercial,
brand_zoom-us_9ff4eb79,Zoom,zoom.us,b2b_services,business_service,0.822,commercial,
brand_pinterest-com_032ca86f,Pinterest,pinterest.com,baby_parenting,baby_products,0.822,commercial,
brand_skincare-com_d52ff697,Skincare,skincare.com,beauty_personal_care,skincare,0.8855,commercial,
brand_163-com_6bbfbb26,163,163.com,consumer_electronics,smartphone,0.903,commercial,
brand_nike-com_7a8689aa,Nike,nike.com,education,online_learning,0.858,commercial,
brand_vogue-in_b2f21538,Vogue,vogue.in,fashion,apparel,0.888,commercial,
brand_ibm-com_228810f3,Ibm,ibm.com,finance,digital_banking,0.882,commercial,
brand_gov-au_f37ac88f,Gov,gov.au,food_beverage,snacks,0.8797,commercial,
brand_msn-com_45826d34,Msn,msn.com,gaming_entertainment,gaming,0.808,publisher,publisher_domain_pattern
brand_mailinabox-email_4c3e5515,Mailinabox,mailinabox.email,home_appliance,kitchen_appliance,0.822,commercial,
brand_forbes-com_67d19e48,Forbes,forbes.com,home_improvement,home_decor,0.722,publisher,publisher_domain_pattern
brand_spglobal-com_56c2f58e,Spglobal,spglobal.com,mobility,automotive,0.8855,commercial,
brand_soundcloud-com_24dff067,Soundcloud,soundcloud.com,pet,pet_supplies,0.822,commercial,
brand_weforum-org_b1fbdbe4,Weforum,weforum.org,saas,productivity,0.748,commercial,non_brand_hint
brand_forumsport-com_47dd4f9a,Forumsport,forumsport.com,sports_outdoor,fitness,0.7505,commercial,non_brand_hint
brand_gov-in_6ca8b982,Gov,gov.in,travel_hospitality,hotel_booking,0.878,commercial,
brand_live-com_cc525963,Live,live.com,art_culture,craft,0.822,commercial,
brand_cloudflare-com_486972a0,Cloudflare,cloudflare.com,b2b_services,business_service,0.822,commercial,
brand_tumblr-com_64235172,Tumblr,tumblr.com,baby_parenting,baby_products,0.822,commercial,
brand_collinsdictionary-com_7eefb769,Collinsdictionary,collinsdictionary.com,consumer_electronics,smartphone,0.899,commercial,
brand_nytimes-com_87a10fe6,Nytimes,nytimes.com,developer_tools,dev_platform,0.722,publisher,publisher_domain_pattern
brand_nginx-org_e593468e,Nginx,nginx.org,education,online_learning,0.822,commercial,
brand_fashionforum-dk_845edf01,Fashionforum,fashionforum.dk,fashion,apparel,0.7405,commercial,non_brand_hint
brand_f5-com_fc360b34,F5,f5.com,finance,digital_banking,0.822,commercial,
brand_food-forum-pl_977c2d3f,Food Forum,food-forum.pl,food_beverage,snacks,0.738,commercial,non_brand_hint
brand_tripmerge-com_8f71b84b,Tripmerge,tripmerge.com,gaming_entertainment,gaming,0.903,commercial,
brand_creativecommons-org_51db91f5,Creativecommons,creativecommons.org,health_wellness,healthcare,0.822,commercial,
brand_sciencedirect-com_8cbc17f5,Sciencedirect,sciencedirect.com,home_appliance,kitchen_appliance,0.822,commercial,
brand_googleblog-com_02ac689c,Googleblog,googleblog.com,home_improvement,home_decor,0.822,commercial,
brand_debian-org_f1f24587,Debian,debian.org,local_services,food_delivery,0.822,commercial,
brand_openai-com_a8795567,OpenAI,openai.com,mobility,automotive,0.858,commercial,
brand_plesk-com_c8a8b70f,Plesk,plesk.com,pet,pet_supplies,0.822,commercial,
brand_nginx-com_2cf05871,Nginx,nginx.com,saas,productivity,0.822,commercial,
brand_vimeo-com_b876a37d,Vimeo,vimeo.com,sports_outdoor,fitness,0.822,commercial,
brand_researchgate-net_760c754a,Researchgate,researchgate.net,art_culture,craft,0.822,commercial,
brand_cookiedatabase-org_8de9146c,Cookiedatabase,cookiedatabase.org,b2b_services,business_service,0.822,commercial,
brand_eudic-net_40affb80,Eudic,eudic.net,consumer_electronics,smartphone,0.894,commercial,
brand_cnn-com_c917ab8c,Cnn,cnn.com,developer_tools,dev_platform,0.722,publisher,publisher_domain_pattern
brand_flickr-com_de6eb4c7,Flickr,flickr.com,education,online_learning,0.822,commercial,
brand_paypal-com_1be9461a,PayPal,paypal.com,fashion,apparel,0.858,commercial,
brand_office-com_e65dcd5a,Office,office.com,finance,digital_banking,0.822,commercial,
brand_whatsapp-com_0b521d5f,Whatsapp,whatsapp.com,food_beverage,snacks,0.822,commercial,
brand_wanderlix-com_5e1a8d1c,Wanderlix,wanderlix.com,gaming_entertainment,gaming,0.898,commercial,
brand_dropcatch-com_39bf2978,Dropcatch,dropcatch.com,health_wellness,healthcare,0.822,commercial,
brand_washingtonpost-com_8bae4eaf,Washingtonpost,washingtonpost.com,home_improvement,home_decor,0.722,publisher,publisher_domain_pattern
brand_calendly-com_c93d6242,Calendly,calendly.com,local_services,food_delivery,0.822,commercial,
brand_mysql-com_85d5cd32,Mysql,mysql.com,pet,pet_supplies,0.822,commercial,
brand_godaddy-com_4fce9822,Godaddy,godaddy.com,saas,productivity,0.822,commercial,
brand_macromedia-com_87462a61,Macromedia,macromedia.com,sports_outdoor,fitness,0.722,publisher,publisher_domain_pattern
brand_w3-org_0e4371c6,W3,w3.org,travel_hospitality,hotel_booking,0.822,commercial,
brand_canva-com_bdf90231,Canva,canva.com,b2b_services,business_service,0.822,commercial,
brand_issuu-com_56005e4d,Issuu,issuu.com,baby_parenting,baby_products,0.822,commercial,
brand_github-com_f5825304,Github,github.com,beauty_personal_care,skincare,0.822,commercial,
brand_bilibili-com_63af691b,Bilibili,bilibili.com,consumer_electronics,smartphone,0.893,commercial,
brand_un-org_7847d793,Un,un.org,developer_tools,dev_platform,0.822,commercial,
brand_vk-com_993ee817,Vk,vk.com,education,online_learning,0.822,commercial,
brand_youtu-be_916beeb6,Youtu,youtu.be,fashion,apparel,0.822,commercial,
brand_dropbox-com_0cd6ee23,Dropbox,dropbox.com,finance,digital_banking,0.822,commercial,
brand_3dmgame-com_144bc215,3dmgame,3dmgame.com,gaming_entertainment,gaming,0.898,commercial,
brand_linktr-ee_0a5039d2,Linktr,linktr.ee,health_wellness,healthcare,0.822,commercial,
brand_discord-gg_a5175d26,Discord,discord.gg,home_appliance,kitchen_appliance,0.822,commercial,
brand_etsy-com_c36d4fb4,Etsy,etsy.com,home_improvement,home_decor,0.822,commercial,
brand_oup-com_5b00eb4e,Oup,oup.com,local_services,food_delivery,0.822,commercial,
brand_archive-org_6a55ce7e,Archive,archive.org,mobility,automotive,0.822,commercial,
brand_hp-com_99d66c73,Hp,hp.com,pet,pet_supplies,0.822,commercial,
brand_opera-com_21402628,Opera,opera.com,saas,productivity,0.822,commercial,
brand_youtube-nocookie-com_f5e8b5a3,Youtube Nocookie,youtube-nocookie.com,travel_hospitality,hotel_booking,0.822,commercial,
brand_ietf-org_22f7b445,Ietf,ietf.org,art_culture,craft,0.822,commercial,
brand_stripe-com_26492087,Stripe,stripe.com,b2b_services,business_service,0.822,commercial,
brand_statista-com_2c966f30,Statista,statista.com,baby_parenting,baby_products,0.822,commercial,
brand_wordpress-org_28e723ea,Wordpress,wordpress.org,beauty_personal_care,cosmetics,0.722,publisher,publisher_domain_pattern
brand_dxomark-cn_ad12257b,Dxomark,dxomark.cn,consumer_electronics,smartphone,0.893,commercial,
brand_list-manage-com_97464cff,List Manage,list-manage.com,developer_tools,dev_platform,0.822,commercial,
brand_weebly-com_0e808dda,Weebly,weebly.com,finance,digital_banking,0.822,commercial,
brand_bbc-com_0d4cd9cf,Bbc,bbc.com,gaming_entertainment,gaming,0.793,publisher,publisher_domain_pattern
brand_amzn-to_243b5656,Amzn,amzn.to,health_wellness,healthcare,0.822,commercial,
brand_twitch-tv_b60af923,Twitch,twitch.tv,home_appliance,kitchen_appliance,0.822,commercial,
brand_firefox-com_ebf94db2,Firefox,firefox.com,home_improvement,home_decor,0.822,commercial,
brand_sina-com-cn_2bab01c7,Sina,sina.com.cn,local_services,food_delivery,0.822,commercial,
brand_shopify-com_95568ea3,Shopify,shopify.com,mobility,automotive,0.822,commercial,
brand_ted-com_ccf9fc8b,Ted,ted.com,pet,pet_supplies,0.822,commercial,
brand_wikimedia-org_b24d201e,Wikimedia,wikimedia.org,saas,productivity,0.722,publisher,publisher_domain_pattern
brand_wiley-com_a8a425ed,Wiley,wiley.com,sports_outdoor,fitness,0.822,commercial,
brand_imdb-com_02856202,Imdb,imdb.com,travel_hospitality,hotel_booking,0.822,commercial,
brand_dailymail-co-uk_3d72f2bd,Dailymail,dailymail.co.uk,art_culture,craft,0.722,publisher,publisher_domain_pattern
brand_techcrunch-com_1ddcc72c,Techcrunch,techcrunch.com,b2b_services,business_service,0.722,publisher,publisher_domain_pattern
brand_myshopify-com_f7e08ea6,Myshopify,myshopify.com,baby_parenting,baby_products,0.822,commercial,
brand_gov-cn_46e02606,Gov,gov.cn,beauty_personal_care,skincare,0.822,commercial,
brand_cambridge-org_a0d465d9,Cambridge,cambridge.org,consumer_electronics,smartphone,0.8916,commercial,
brand_go-com_779aa8bc,Go,go.com,developer_tools,dev_platform,0.822,commercial,
brand_businessinsider-com_71727c1a,Businessinsider,businessinsider.com,education,online_learning,0.822,commercial,
brand_qq-com_0b33c434,Qq,qq.com,fashion,apparel,0.822,commercial,
brand_unsplash-com_20c65a9d,Unsplash,unsplash.com,finance,digital_banking,0.822,commercial,
brand_gnu-org_2554f1b6,Gnu,gnu.org,food_beverage,snacks,0.822,commercial,
brand_admiddleeast-com_eb49a19a,Admiddleeast,admiddleeast.com,gaming_entertainment,gaming,0.888,commercial,
brand_stackoverflow-com_3c20ec22,Stackoverflow,stackoverflow.com,health_wellness,healthcare,0.822,commercial,
brand_usatoday-com_61a5c329,Usatoday,usatoday.com,home_appliance,kitchen_appliance,0.722,publisher,publisher_domain_pattern
brand_google-de_9570bdfd,Google,google.de,home_improvement,home_decor,0.822,commercial,
brand_redhat-com_bdd9396a,Redhat,redhat.com,local_services,food_delivery,0.822,commercial,
brand_squarespace-com_d49a12c2,Squarespace,squarespace.com,pet,pet_supplies,0.822,commercial,
brand_telegram-me_bde8961c,Telegram,telegram.me,saas,productivity,0.822,commercial,
brand_gov-uk_ab2753f9,Gov,gov.uk,sports_outdoor,fitness,0.822,commercial,
brand_expireddomains-com_156fc179,Expireddomains,expireddomains.com,travel_hospitality,hotel_booking,0.822,commercial,
brand_unesco-org_b2b65099,Unesco,unesco.org,art_culture,craft,0.822,commercial,
brand_dailymotion-com_c835f1e4,Dailymotion,dailymotion.com,b2b_services,business_service,0.722,publisher,publisher_domain_pattern
brand_ft-com_11a01d5b,Ft,ft.com,baby_parenting,baby_products,0.822,commercial,
