vertical_l1,vertical_l2,total_records,ad_eligible_brands,suspect_brands,non_brand_entities,sample_ad_eligible,sample_non_brand,ad_eligible_ratio,non_brand_ratio
art_culture,craft,150,141,0,9,【Craft | Live | Researchgate | Ietf | Dailymail | Unesco | Mailchimp | Netflix | Scribd | Cisco,T -> T | Stanford -> Stanford | Federalregister -> Federalregister | Tufts -> Tufts | Cisa -> Cisa | Mass -> Mass | Tsa -> Tsa | Healthcare -> Healthcare | Baylor -> Baylor,0.94,0.06
b2b_services,business_service,150,136,1,13,Zoom | Cloudflare | Cookiedatabase | Canva | Stripe | Techcrunch | Dailymotion | Ieee | Sedo | Businesswire,Github -> Github | Noaa -> Noaa | Upenn -> Upenn | Irs -> Irs | Jhu -> Jhu | Brookings -> Brookings | Hbs -> Hbs | Gatech -> Gatech | T -> T | Page -> Page,0.9067,0.0867
baby_parenting,baby_products,150,135,0,15,Parenting | Pinterest | Tumblr | Issuu | Statista | Myshopify | Ft | Theverge | Yandex | Chatgpt,Who -> Who | Ca -> Ca | Appspot -> Appspot | Msu -> Msu | Usf -> Usf | Home -> Home | Uh -> Uh | Ku -> Ku | Kit -> Kit | Temple -> Temple,0.9,0.1
beauty_personal_care,cosmetics,74,59,0,15,Iciba | Wordpress | Theguardian | Reuters | Wsj | Gitlab | Arxiv | Themeforest | Docker | Python,Cosmetics and Your Health -> Cosmetics and Your Health | Cornell -> Cornell | Ucla -> Ucla | Energy -> Energy | Ufl -> Ufl | Asu -> Asu | Archives -> Archives | Usembassy -> Usembassy | News -> News | Esa -> Esa,0.7973,0.2027
beauty_personal_care,skincare,76,69,0,7,Skincare | Github | Gov | Doi | Bbc | Cnbc | Telegraph | Surveymonkey | Bandcamp | Wpguardian,BEAUTY FORUM -> Com | Nist -> Nist | Sec -> Sec | Cancer -> Cancer | Dol -> Dol | Utah -> Utah | Reliefweb -> Reliefweb,0.9079,0.0921
consumer_electronics,laptop,68,56,0,12,Forms | Cpanel | Springer | Bloomberg | Addtoany | Uk | Amazon | Nationalgeographic | Xing | Tencent,Googletagmanager -> Googletagmanager | Fda -> Fda | Academia -> Academia | State -> State | Ftc -> Ftc | Census -> Census | Usc -> Usc | Rutgers -> Rutgers | Brown -> Brown | Gwu -> Gwu,0.8235,0.1765
consumer_electronics,pet_supplies,1,1,0,0,Zhihu,,1,0
consumer_electronics,smartphone,81,70,0,11,Koolearn | 网易手机 有态度的手机门户 | LEADING 释义 | Eudic | Bilibili | Dxomark | TOP | Chinesewords | Hujiang | Leading,智能手機 -> 智能手機 | Columbia -> Columbia | Psu -> Psu | Cmu -> Cmu | Congress -> Congress | Dhs -> Dhs | Utah -> Utah | Blogspot -> Blogspot | Wsu -> Wsu | Fsu -> Fsu,0.8642,0.1358
developer_tools,dev_platform,150,136,0,14,Apple Developer (简体中文) | Nytimes | Cnn | Un | List Manage | Go | Free | Mckinsey | Healthline | Theconversation,Bit -> Bit | G -> G | Utexas -> Utexas | Usgs -> Usgs | Ucsb -> Ucsb | Pitt -> Pitt | Federalreserve -> Federalreserve | Faa -> Faa | Web -> Web | Lsu -> Lsu,0.9067,0.0933
education,online_learning,150,137,0,13,Worldbank | Nginx | Flickr | Vk | Businessinsider | Slideshare | Hubspot | Independent | Iso | Office365,Cdc -> Cdc | Umn -> Umn | Osu -> Osu | Vt -> Vt | Cuny -> Cuny | Ucsf -> Ucsf | Virginia -> Virginia | Samhsa -> Samhsa | Ohio -> Ohio | Transportation -> Transportation,0.9133,0.0867
fashion,apparel,76,67,0,9,Vogue | Fashionforum | Youtu | Qq | Paypal | Discord | Line | Tripadvisor | Yelp | Wpguardian,Harvard -> Harvard | Berkeley -> Berkeley | Arizona -> Arizona | Georgetown -> Georgetown | Oregonstate -> Oregonstate | Eia -> Eia | Nd -> Nd | Byu -> Byu | Gmu -> Gmu,0.8816,0.1184
fashion,footwear,74,67,0,7,Baidu | Spotify | Oracle | Nature | Example | Wired | Tandfonline | Thenai | Prnewswire | Taobao,Goo -> Goo | Bls -> Bls | Privacyshield -> Privacyshield | Colorado -> Colorado | Bu -> Bu | Ncsu -> Ncsu | Uga -> Uga,0.9054,0.0946
