vertical_l1,vertical_l2,total_records,ad_eligible_brands,suspect_brands,non_brand_entities,domain_type_commercial,domain_type_publisher,domain_type_institution,domain_type_infra_hosting,domain_type_shortlink,domain_type_generic_bucket,sample_ad_eligible,sample_non_brand,ad_eligible_ratio,non_brand_ratio
art_culture,craft,150,141,0,9,132,9,8,0,1,0,【Craft | Live | Researchgate | Ietf | Dailymail | Unesco | Mailchimp | Netflix | Scribd | Cisco,T -> T | Stanford -> Stanford | Federalregister -> Federalregister | Tufts -> Tufts | Cisa -> Cisa | Mass -> Mass | Tsa -> Tsa | Healthcare -> Healthcare | Baylor -> Baylor,0.94,0.06
b2b_services,business_service,150,136,0,14,130,6,10,1,1,2,Zoom | Cloudflare | Cookiedatabase | Canva | Stripe | Techcrunch | Dailymotion | Ieee | Sedo | Businesswire,Github -> Github | Noaa -> Noaa | Upenn -> Upenn | Irs -> Irs | Jhu -> Jhu | Brookings -> Brookings | Hbs -> Hbs | Gatech -> Gatech | T -> T | Page -> Page,0.9067,0.0933
baby_parenting,baby_products,150,135,0,15,132,3,13,1,0,1,Parenting | Pinterest | Tumblr | Issuu | Statista | Myshopify | Ft | Theverge | Yandex | Chatgpt,Who -> Who | Ca -> Ca | Appspot -> Appspot | Msu -> Msu | Usf -> Usf | Home -> Home | Uh -> Uh | Ku -> Ku | Kit -> Kit | Temple -> Temple,0.9,0.1
beauty_personal_care,cosmetics,74,58,0,16,51,8,12,1,0,2,Wordpress | Theguardian | Reuters | Wsj | Gitlab | Arxiv | Themeforest | Docker | Python | Google,leading是什么意思_leading的翻译_音标_读音_用法_例句_爱 ... -> Iciba | Cosmetics and Your Health -> Cosmetics and Your Health | Cornell -> Cornell | Ucla -> Ucla | Energy -> Energy | Ufl -> Ufl | Asu -> Asu | Archives -> Archives | Usembassy -> Usembassy | News -> News,0.7838,0.2162
beauty_personal_care,skincare,76,69,0,7,67,2,6,0,0,1,Skincare | Github | Gov | Doi | Bbc | Cnbc | Telegraph | Surveymonkey | Bandcamp | Wpguardian,BEAUTY FORUM -> Com | Nist -> Nist | Sec -> Sec | Cancer -> Cancer | Dol -> Dol | Utah -> Utah | Reliefweb -> Reliefweb,0.9079,0.0921
consumer_electronics,laptop,68,56,0,12,53,3,10,1,0,1,Forms | Cpanel | Springer | Bloomberg | Addtoany | Uk | Amazon | Nationalgeographic | Xing | Tencent,Googletagmanager -> Googletagmanager | Fda -> Fda | Academia -> Academia | State -> State | Ftc -> Ftc | Census -> Census | Usc -> Usc | Rutgers -> Rutgers | Brown -> Brown | Gwu -> Gwu,0.8235,0.1765
consumer_electronics,pet_supplies,1,0,0,1,1,0,0,0,0,0,,博客类网站.com和.top域名之间该如何选择? -> Zhihu,0,1
consumer_electronics,smartphone,81,66,0,15,64,6,9,1,0,1,网易手机 有态度的手机门户 | LEADING 释义 | Eudic | Dxomark | TOP | Leading | GSMArena.com | Best phones 2026 tested | 荣耀AI终端 | Gravatar,leading是什么意思_leading怎么读_leading翻译_用法_发音 ... -> Koolearn | 盘点火爆全网的流行舞蹈，你最喜欢第几个1#舞蹈 #热门舞蹈 ... -> Bilibili | 智能手機 -> 智能手機 | leading中文，leading的意思，leading翻譯及用法 -> Chinesewords | leading是什么意思_翻译leading的意思_用法_同义词_反义词 ... -> Hujiang | Columbia -> Columbia | Psu -> Psu | Cmu -> Cmu | Congress -> Congress | Dhs -> Dhs,0.8148,0.1852
developer_tools,dev_platform,150,136,0,14,128,8,11,0,2,1,Apple Developer (简体中文) | Nytimes | Cnn | Un | List Manage | Go | Free | Mckinsey | Healthline | Theconversation,Bit -> Bit | G -> G | Utexas -> Utexas | Usgs -> Usgs | Ucsb -> Ucsb | Pitt -> Pitt | Federalreserve -> Federalreserve | Faa -> Faa | Web -> Web | Lsu -> Lsu,0.9067,0.0933
education,online_learning,150,136,0,14,131,6,13,0,0,0,Nginx | Flickr | Vk | Businessinsider | Slideshare | Hubspot | Independent | Iso | Office365 | Deloitte,Fintech and the Future of Finance -> Worldbank | Cdc -> Cdc | Umn -> Umn | Osu -> Osu | Vt -> Vt | Cuny -> Cuny | Ucsf -> Ucsf | Virginia -> Virginia | Samhsa -> Samhsa | Ohio -> Ohio,0.9067,0.0933
