vertical_l1,vertical_l2,total_records,ad_eligible_brands,suspect_brands,non_brand_entities,domain_type_commercial,domain_type_publisher,domain_type_institution,domain_type_infra_hosting,domain_type_shortlink,domain_type_generic_bucket,sample_ad_eligible,sample_non_brand,ad_eligible_ratio,non_brand_ratio
art_culture,craft,141,141,0,0,132,9,0,0,0,0,Mobile01 | Live | Researchgate | Ietf | Dailymail | Unesco | Mailchimp | Netflix | Scribd | Cisco,,1,0
b2b_services,business_service,136,136,0,0,130,6,0,0,0,0,Zoom | Cloudflare | Cookiedatabase | Canva | Stripe | Techcrunch | Dailymotion | Ieee | Sedo | Businesswire,,1,0
baby_parenting,baby_products,135,135,0,0,132,3,0,0,0,0,Parenting | Pinterest | Tumblr | Issuu | Statista | Myshopify | Ft | Theverge | Yandex | Chatgpt,,1,0
beauty_personal_care,cosmetics,156,156,0,0,148,8,0,0,0,0,Iciba | Wordpress | Theguardian | Reuters | Wsj | Gitlab | Arxiv | Themeforest | Docker | Python,,1,0
beauty_personal_care,skincare,69,69,0,0,67,2,0,0,0,0,Skincare | Github | Gov | Doi | Bbc | Cnbc | Telegraph | Surveymonkey | Bandcamp | Wpguardian,,1,0
consumer_electronics,laptop,116,116,0,0,113,3,0,0,0,0,Forms | Cpanel | Springer | Bloomberg | Addtoany | Uk | Amazon | Nationalgeographic | Xing | Tencent,,1,0
consumer_electronics,pet_supplies,36,36,0,0,36,0,0,0,0,0,"Zhihu | PETLIBRO | PETKIT | Whisker | Litter-Robot, Self-Cleaning Litter Box | Furbo | Petcube | Tractive | Halo Collar | Catit",,1,0
consumer_electronics,smartphone,70,70,0,0,64,6,0,0,0,0,Koolearn | 163 | Collinsdictionary | Eudic | Bilibili | Dxomark | Cambridge | Chinesewords | Hujiang | Scandict,,1,0
developer_tools,dev_platform,136,136,0,0,128,8,0,0,0,0,Apple | Nytimes | Cnn | Un | List Manage | Go | Free | Mckinsey | Healthline | Theconversation,,1,0
education,online_learning,137,137,0,0,131,6,0,0,0,0,Worldbank | Nike | Nginx | Flickr | Vk | Businessinsider | Slideshare | Hubspot | Independent | Iso,,1,0
fashion,apparel,210,210,0,0,205,5,0,0,0,0,Vogue | Fashionforum | PayPal | Youtu | Qq | Discord | Line | Tripadvisor | Yelp | Wpguardian,,1,0
fashion,footwear,67,67,0,0,63,4,0,0,0,0,Baidu | Spotify | Oracle | Nature | Example | Wired | Tandfonline | Thenai | Prnewswire | Taobao,,1,0
finance,digital_banking,139,139,0,0,131,8,0,0,0,0,Digitalspy | Ibm | F5 | Office | Dropbox | Weebly | Unsplash | Behance | Cnet | Networkadvertising,,1,0
food_beverage,snacks,132,132,0,0,128,4,0,0,0,0,Zybang | Gov | Food Forum | Whatsapp | Gnu | Time | Allaboutcookies | Cpanel | Marriott | Amazon,,1,0
gaming_entertainment,gaming,141,141,0,0,135,6,0,0,0,0,Microsoft | Msn | Tripmerge | Wanderlix | 3dmgame | Bbc | Admiddleeast | Uaktravel | Xbox | Splashtravels,,1,0
health_wellness,healthcare,130,130,0,0,116,14,0,0,0,0,Alibaba | Creativecommons | Dropcatch | Linktr | Amzn | Stackoverflow | Substack | Booking | Apnews | Huffpost,,1,0
home_appliance,kitchen_appliance,132,132,0,0,127,5,0,0,0,0,Wordreference | Mailinabox | Sciencedirect | Discord | Twitch | Usatoday | Britannica | Hbr | Mailchi | Ubuntu,,1,0
home_improvement,home_decor,130,130,0,0,121,9,0,0,0,0,Apache | Forbes | Googleblog | Washingtonpost | Etsy | Firefox | Google | Pixabay | Aliyun | Youronlinechoices,,1,0
local_services,food_delivery,134,134,0,0,127,7,0,0,0,0,Mozilla | Debian | Calendly | Oup | Sina | Redhat | Goodreads | Readthedocs | Kickstarter | It,,1,0
mobility,automotive,131,131,0,0,124,7,0,0,0,0,Cargurus | Spglobal | OpenAI | Archive | Shopify | Aol | Gouv | Myspace | Steampowered | Fandom,,1,0
pet,pet_supplies,141,141,0,0,138,3,0,0,0,0,Europa | Soundcloud | Plesk | Mysql | Hp | Ted | Squarespace | Latimes | Freepik | Huffingtonpost,,1,0
saas,productivity,139,139,0,0,126,13,0,0,0,0,Productivity | Weforum | Nginx | Godaddy | Opera | Wikimedia | Telegram | Npr | Bsky | Wix,,1,0
sports_outdoor,fitness,133,133,0,0,121,12,0,0,0,0,Fitness | Forumsport | Vimeo | Macromedia | Wiley | Gov | Trustpilot | Mdpi | Samsung | Livejournal,,1,0
travel_hospitality,hotel_booking,138,138,0,0,133,5,0,0,0,0,Travel Dealz | Gov | W3 | Youtube Nocookie | Imdb | Expireddomains | Sharepoint | Blogger | Cbsnews | Indeed,,1,0
