brand_id,official_domain,vertical_l1,vertical_l2,original_brand_name,cleaned_brand_name,selected_source,domain_entity_type,domain_hard_gate,entity_decision,final_score,name_score,domain_score,reasons
brand_mobile01-com_85548672,mobile01.com,art_culture,craft,Mobile01,Mobile01,original_name,commercial,false,brand_ad_eligible,0.898,1,0.82,
brand_parenting-pl_e91efde4,parenting.pl,baby_parenting,baby_products,Parenting,Parenting,original_name,commercial,false,brand_ad_eligible,0.8855,1,0.82,
brand_iciba-com_d4604774,iciba.com,beauty_personal_care,cosmetics,Iciba,Iciba,original_name,commercial,false,brand_ad_eligible,0.91,1,0.82,
brand_koolearn-com_7fcc0467,koolearn.com,consumer_electronics,smartphone,Koolearn,Koolearn,original_name,commercial,false,brand_ad_eligible,0.904,1,0.82,
brand_apple-com_143b3799,apple.com,developer_tools,dev_platform,Apple,Apple,original_name,commercial,false,brand_ad_eligible,0.91,1,0.82,
brand_worldbank-org_8a6ebcc3,worldbank.org,education,online_learning,Worldbank,Worldbank,original_name,commercial,false,brand_ad_eligible,0.8842,1,0.82,
brand_baidu-com_f5a6b304,baidu.com,fashion,footwear,Baidu,Baidu,original_name,commercial,false,brand_ad_eligible,0.91,1,0.82,
brand_digitalspy-com_b9ee23ee,digitalspy.com,finance,digital_banking,Digitalspy,Digitalspy,original_name,publisher,false,brand_ad_eligible,0.788,1,0.62,publisher_domain_pattern
brand_zybang-com_4f56ad56,zybang.com,food_beverage,snacks,Zybang,Zybang,original_name,commercial,false,brand_ad_eligible,0.8855,1,0.82,
brand_microsoft-com_efa3eeb2,microsoft.com,gaming_entertainment,gaming,Microsoft,Microsoft,original_name,commercial,false,brand_ad_eligible,0.91,1,0.82,
brand_alibaba-com_b74526cb,alibaba.com,health_wellness,healthcare,Alibaba,Alibaba,original_name,commercial,false,brand_ad_eligible,0.91,1,0.82,
brand_wordreference-com_11cf5291,wordreference.com,home_appliance,kitchen_appliance,Wordreference,Wordreference,original_name,commercial,false,brand_ad_eligible,0.878,1,0.82,
brand_apache-org_8375140b,apache.org,home_improvement,home_decor,Apache,Apache,original_name,commercial,false,brand_ad_eligible,0.822,1,0.82,
brand_mozilla-org_a36de48f,mozilla.org,local_services,food_delivery,Mozilla,Mozilla,original_name,commercial,false,brand_ad_eligible,0.822,1,0.82,
brand_cargurus-ca_5f8c63cd,cargurus.ca,mobility,automotive,Cargurus,Cargurus,original_name,commercial,false,brand_ad_eligible,0.8963,1,0.82,
brand_europa-eu_d905ee50,europa.eu,pet,pet_supplies,Europa,Europa,original_name,commercial,false,brand_ad_eligible,0.822,1,0.82,
brand_productivity-ac-uk_37df4b4b,productivity.ac.uk,saas,productivity,Productivity,Productivity,original_name,commercial,false,brand_ad_eligible,0.8872,1,0.82,
brand_fitness-com_3a896ef0,fitness.com,sports_outdoor,fitness,Fitness,Fitness,original_name,commercial,false,brand_ad_eligible,0.888,1,0.82,
brand_travel-dealz-de_35d12fc7,travel-dealz.de,travel_hospitality,hotel_booking,Travel Dealz,Travel Dealz,original_name,commercial,false,brand_ad_eligible,0.8863,1,0.82,
brand_zoom-us_9ff4eb79,zoom.us,b2b_services,business_service,Zoom,Zoom,original_name,commercial,false,brand_ad_eligible,0.822,1,0.82,
brand_pinterest-com_032ca86f,pinterest.com,baby_parenting,baby_products,Pinterest,Pinterest,original_name,commercial,false,brand_ad_eligible,0.822,1,0.82,
brand_skincare-com_d52ff697,skincare.com,beauty_personal_care,skincare,Skincare,Skincare,original_name,commercial,false,brand_ad_eligible,0.8855,1,0.82,
brand_163-com_6bbfbb26,163.com,consumer_electronics,smartphone,163,163,original_name,commercial,false,brand_ad_eligible,0.903,1,0.82,
brand_nike-com_7a8689aa,nike.com,education,online_learning,Nike,Nike,original_name,commercial,false,brand_ad_eligible,0.858,1,0.82,
brand_vogue-in_b2f21538,vogue.in,fashion,apparel,Vogue,Vogue,original_name,commercial,false,brand_ad_eligible,0.888,1,0.82,
brand_ibm-com_228810f3,ibm.com,finance,digital_banking,Ibm,Ibm,original_name,commercial,false,brand_ad_eligible,0.882,1,0.82,
brand_gov-au_f37ac88f,gov.au,food_beverage,snacks,Gov,Gov,original_name,commercial,false,brand_ad_eligible,0.8797,1,0.82,
