vertical_l1,vertical_l2,ad_eligible_brands,target_brands,brands_to_fill,non_brand_entities,ad_eligible_ratio
consumer_electronics,pet_supplies,36,126,90,0,1
fashion,footwear,67,126,59,0,1
beauty_personal_care,skincare,69,126,57,0,1
consumer_electronics,smartphone,70,126,56,0,1
consumer_electronics,laptop,116,126,10,0,1
art_culture,craft,141,126,0,0,1
b2b_services,business_service,136,126,0,0,1
baby_parenting,baby_products,135,126,0,0,1
beauty_personal_care,cosmetics,156,126,0,0,1
developer_tools,dev_platform,136,126,0,0,1
education,online_learning,137,126,0,0,1
fashion,apparel,210,126,0,0,1
finance,digital_banking,139,126,0,0,1
food_beverage,snacks,132,126,0,0,1
gaming_entertainment,gaming,141,126,0,0,1
health_wellness,healthcare,130,126,0,0,1
home_appliance,kitchen_appliance,132,126,0,0,1
home_improvement,home_decor,130,126,0,0,1
local_services,food_delivery,134,126,0,0,1
mobility,automotive,131,126,0,0,1
pet,pet_supplies,141,126,0,0,1
saas,productivity,139,126,0,0,1
sports_outdoor,fitness,133,126,0,0,1
travel_hospitality,hotel_booking,138,126,0,0,1
