brand_id,official_domain,vertical_l1,vertical_l2,original_brand_name,cleaned_brand_name,selected_source,brand_quality,final_brand_score,original_name_score,domain_candidate_score,reasons
brand_mobile01-com_13a95802,mobile01.com,art_culture,craft,【Craft,Craft,original_brand_name,valid,1,1,0.75,
brand_github-io_c3d2acd7,github.io,b2b_services,business_service,Github,Github,original_brand_name,valid,0.901,1,0.75,
brand_parenting-pl_523600b8,parenting.pl,baby_parenting,baby_products,Forum,Parenting,domain_candidate,valid,0.8212,0.55,0.75,non_brand_hint
brand_iciba-com_334fb64d,iciba.com,beauty_personal_care,cosmetics,leading是什么意思_leading的翻译_音标_读音_用法_例句_爱 ...,Iciba,domain_candidate,valid,0.825,0,0.75,too_many_tokens|non_brand_hint|cjk_sentence_pattern|cjk_too_long_for_brand|ellipsis
brand_koolearn-com_89795d81,koolearn.com,consumer_electronics,smartphone,leading是什么意思_leading怎么读_leading翻译_用法_发音 ...,Koolearn,domain_candidate,valid,0.825,0,0.75,too_many_tokens|non_brand_hint|cjk_sentence_pattern|cjk_too_long_for_brand|ellipsis
brand_apple-com_353d0d6e,apple.com,developer_tools,dev_platform,Apple Developer (简体中文),Apple Developer (简体中文,original_brand_name,valid,0.9962,1,0.75,
brand_worldbank-org_dcba3684,worldbank.org,education,online_learning,Fintech and the Future of Finance,Worldbank,domain_candidate,valid,0.8192,0.25,0.75,too_many_tokens|non_brand_hint
brand_baidu-com_c33382c0,baidu.com,fashion,footwear,be popular with/to/by/for 的用法_百度知道,Baidu,domain_candidate,valid,0.825,0,0.75,too_many_tokens|non_brand_hint|cjk_sentence_pattern
brand_digitalspy-com_8e8c7cfe,digitalspy.com,finance,digital_banking,The Ratings Thread (Part 76),Digitalspy,domain_candidate,valid,0.825,0.25,0.75,too_many_tokens|non_brand_hint
brand_zybang-com_693cc0dc,zybang.com,food_beverage,snacks,作业帮,作业帮,original_brand_name,valid,0.9962,1,0.75,
brand_msn-com_98acfe79,msn.com,gaming_entertainment,gaming,A village hidden in the desert cliffs,Msn,domain_candidate,valid,0.825,0.25,0.75,too_many_tokens|non_brand_hint
brand_alibaba-com_edadaf2f,alibaba.com,health_wellness,healthcare,首页,Alibaba,domain_candidate,valid,0.825,0.55,0.75,non_brand_hint
brand_wordreference-com_f3851189,wordreference.com,home_appliance,kitchen_appliance,"There &lt;is/are&gt; a kitchen, a bathroom and living rooms",Wordreference,domain_candidate,valid,0.81,0.35,0.75,too_long|too_many_tokens
brand_apache-org_8375140b,apache.org,home_improvement,home_decor,Apache,Apache,original_brand_name,valid,0.901,1,0.75,
brand_mozilla-org_a36de48f,mozilla.org,local_services,food_delivery,Mozilla,Mozilla,original_brand_name,valid,0.901,1,0.75,
brand_cargurus-ca_d1b748af,cargurus.ca,mobility,automotive,"Used Cars for Sale in Calgary, AB",Cargurus,domain_candidate,valid,0.825,0.7,0.75,too_many_tokens
brand_europa-eu_d905ee50,europa.eu,pet,pet_supplies,Europa,Europa,original_brand_name,valid,0.901,1,0.75,
brand_productivity-ac-uk_7150a262,productivity.ac.uk,saas,productivity,Productivity Primer,Productivity Primer,original_brand_name,valid,0.9987,1,0.75,
brand_fitness-com_3a896ef0,fitness.com,sports_outdoor,fitness,Fitness,Fitness,original_brand_name,valid,1,1,0.75,
brand_travel-dealz-de_bc86ff99,travel-dealz.de,travel_hospitality,hotel_booking,Aktuell in Angebote,Aktuell in Angebote,original_brand_name,valid,0.9975,1,0.75,
brand_t-me_482b9633,t.me,art_culture,craft,T,T,domain_candidate,suspect,0.481,0.4,0.4,too_short|domain_root_too_short
brand_zoom-us_9ff4eb79,zoom.us,b2b_services,business_service,Zoom,Zoom,original_brand_name,valid,0.901,1,0.75,
brand_pinterest-com_032ca86f,pinterest.com,baby_parenting,baby_products,Pinterest,Pinterest,original_brand_name,valid,0.901,1,0.75,
brand_skincare-com_78087fcd,skincare.com,beauty_personal_care,skincare,"Skincare Tips, Guides, Trends &amp; Reviews",Skincare,domain_candidate,valid,0.8212,0.25,0.75,too_many_tokens|non_brand_hint
brand_163-com_a7c9c493,163.com,consumer_electronics,smartphone,网易手机 有态度的手机门户,网易手机 有态度的手机门户,original_brand_name,valid,0.86,0.8,0.35,cjk_too_long_for_brand|numeric_domain_root
brand_bit-ly_aabc3297,bit.ly,developer_tools,dev_platform,Bit,Bit,original_brand_name,valid,0.901,1,0.75,
brand_nginx-org_e593468e,nginx.org,education,online_learning,Nginx,Nginx,original_brand_name,valid,0.901,1,0.75,
brand_vogue-in_822c4414,vogue.in,fashion,apparel,Fashion for Women: Latest Fashion Style Guide and Tips,Vogue,domain_candidate,valid,0.825,0,0.75,too_long|too_many_tokens|non_brand_hint|sentence_punctuation
brand_ibm-com_ddb4a2e9,ibm.com,finance,digital_banking,What is digital transformation?,Ibm,domain_candidate,valid,0.816,0.7,0.75,sentence_punctuation
brand_gov-au_3d892cc8,gov.au,food_beverage,snacks,About food and nutrition,About food and nutrition,original_brand_name,valid,0.9875,1,0.75,
brand_microsoft-com_157dc905,microsoft.com,gaming_entertainment,gaming,Microsoft Edge 游戏助手常见问题解答,Microsoft Edge 游戏助手常见问题解答,original_brand_name,valid,0.86,0.8,0.75,cjk_too_long_for_brand
brand_blogspot-com_c41d8eef,blogspot.com,health_wellness,healthcare,Blogspot,Blogspot,original_brand_name,valid,0.901,1,0.75,
brand_mailinabox-email_4c3e5515,mailinabox.email,home_appliance,kitchen_appliance,Mailinabox,Mailinabox,original_brand_name,valid,0.901,1,0.75,
brand_forbes-com_67d19e48,forbes.com,home_improvement,home_decor,Forbes,Forbes,original_brand_name,valid,0.901,1,0.75,
brand_tinyurl-com_d69b5130,tinyurl.com,local_services,food_delivery,Tinyurl,Tinyurl,original_brand_name,valid,0.901,1,0.75,
brand_spglobal-com_ae687dae,spglobal.com,mobility,automotive,"Automotive market trends 2026: Navigating volatility, innovation and ...",Spglobal,domain_candidate,valid,0.8212,0,0.75,too_long|too_many_tokens|sentence_punctuation|ellipsis
