vertical_l1,vertical_l2,brand_count
beauty_personal_care,skincare,201
fashion,footwear,188
fashion,apparel,171
finance,digital_banking,166
consumer_electronics,smartphone,159
education,online_learning,136
pet,pet_supplies,136
gaming_entertainment,gaming,135
b2b_services,business_service,130
travel_hospitality,hotel_booking,130
art_culture,craft,128
baby_parenting,baby_products,127
developer_tools,dev_platform,126
local_services,food_delivery,125
home_appliance,kitchen_appliance,124
food_beverage,snacks,123
mobility,automotive,123
saas,productivity,123
beauty_personal_care,cosmetics,122
home_improvement,home_decor,119
sports_outdoor,fitness,117
health_wellness,healthcare,113
consumer_electronics,laptop,100
consumer_electronics,pet_supplies,32
