brand_id,brand_name,canonical_candidate,official_domain,vertical_l1,vertical_l2,domain_entity_type,strong_evidence,clean_score,source_name_invalid,kb_matched,canonical_confirmed,site_consensus_count,reasons
brand_parenting-pl_e91efde4,Parenting,Parenting,parenting.pl,baby_parenting,baby_products,commercial,false,0.8855,true,false,false,0,polluted_source_name|brand_name_noise
brand_iciba-com_d4604774,Iciba,Iciba,iciba.com,beauty_personal_care,cosmetics,commercial,false,0.91,true,false,false,0,polluted_source_name|brand_name_noise
brand_koolearn-com_7fcc0467,Koolearn,Koolearn,koolearn.com,consumer_electronics,smartphone,commercial,false,0.904,true,false,false,0,polluted_source_name|brand_name_noise
brand_digitalspy-com_b9ee23ee,Digitalspy,Digitalspy,digitalspy.com,finance,digital_banking,commercial,false,0.788,true,false,false,0,polluted_source_name|brand_name_noise
brand_skincare-com_d52ff697,Skincare,Skincare,skincare.com,beauty_personal_care,skincare,commercial,false,0.8855,true,false,false,0,polluted_source_name|brand_name_noise
brand_163-com_6bbfbb26,163,163,163.com,consumer_electronics,smartphone,commercial,false,0.903,false,false,false,0,numeric_brand_name
brand_vogue-in_b2f21538,Vogue,Vogue,vogue.in,fashion,apparel,commercial,false,0.888,true,false,false,0,polluted_source_name|brand_name_noise
brand_gov-au_f37ac88f,Gov,Gov,gov.au,food_beverage,snacks,institution,false,0.8797,false,false,false,0,domain_type_blocked:institution|generic_brand_name
brand_forbes-com_67d19e48,Forbes,Forbes,forbes.com,home_improvement,home_decor,commercial,false,0.722,false,false,false,0,low_cleaning_score
brand_weforum-org_b1fbdbe4,Weforum,Weforum,weforum.org,saas,productivity,commercial,false,0.748,false,false,false,0,brand_name_noise|low_cleaning_score
brand_forumsport-com_47dd4f9a,Forumsport,Forumsport,forumsport.com,sports_outdoor,fitness,commercial,false,0.7505,false,false,false,0,brand_name_noise|low_cleaning_score
brand_gov-in_6ca8b982,Gov,Gov,gov.in,travel_hospitality,hotel_booking,institution,false,0.878,false,false,false,0,domain_type_blocked:institution|generic_brand_name
brand_collinsdictionary-com_7eefb769,Collinsdictionary,Collinsdictionary,collinsdictionary.com,consumer_electronics,smartphone,commercial,false,0.899,false,false,false,0,brand_name_noise
brand_nytimes-com_87a10fe6,Nytimes,Nytimes,nytimes.com,developer_tools,dev_platform,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_fashionforum-dk_845edf01,Fashionforum,Fashionforum,fashionforum.dk,fashion,apparel,commercial,false,0.7405,true,false,false,0,polluted_source_name|brand_name_noise|low_cleaning_score
brand_food-forum-pl_977c2d3f,Food Forum,Food Forum,food-forum.pl,food_beverage,snacks,commercial,false,0.738,true,false,false,0,polluted_source_name|brand_name_noise|low_cleaning_score
brand_cnn-com_c917ab8c,Cnn,Cnn,cnn.com,developer_tools,dev_platform,commercial,false,0.722,false,false,false,0,low_cleaning_score
brand_washingtonpost-com_8bae4eaf,Washingtonpost,Washingtonpost,washingtonpost.com,home_improvement,home_decor,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
brand_macromedia-com_87462a61,Macromedia,Macromedia,macromedia.com,sports_outdoor,fitness,publisher,false,0.722,false,false,false,0,publisher_not_allowed|low_cleaning_score
